temp_id,temp,sensor_type,time_stamp
1,49.4,4,11/13/18 23:35
2,48.9,4,11/13/18 23:35
3,48.9,4,11/13/18 23:35
4,48.3,4,11/13/18 23:35
5,48.3,4,11/13/18 23:35
6,48.3,4,11/13/18 23:35
7,48.3,4,11/13/18 23:35
8,48.3,4,11/13/18 23:35
9,48.3,4,11/13/18 23:36
10,48.3,4,11/13/18 23:36
11,48.3,4,11/13/18 23:36
12,48.3,4,11/13/18 23:36
13,48.3,4,11/13/18 23:36
14,48.3,4,11/13/18 23:36
15,48.3,4,11/13/18 23:36
16,47.8,4,11/13/18 23:36
17,48.3,4,11/13/18 23:36
18,48.3,4,11/13/18 23:36
19,48.3,4,11/13/18 23:36
20,47.8,4,11/13/18 23:36
21,48.3,4,11/13/18 23:36
22,47.8,4,11/13/18 23:36
23,48.3,4,11/13/18 23:36
24,48.3,4,11/13/18 23:36
25,48.3,4,11/13/18 23:36
26,48.3,4,11/13/18 23:36
27,48.3,4,11/13/18 23:36
28,47.8,4,11/13/18 23:36
29,47.8,4,11/13/18 23:36
30,48.3,4,11/13/18 23:36
31,48.3,4,11/13/18 23:36
32,47.8,4,11/13/18 23:36
33,48.3,4,11/13/18 23:36
34,48.9,4,11/13/18 23:36
35,47.8,4,11/13/18 23:36
36,48.3,4,11/13/18 23:36
37,48.3,4,11/13/18 23:36
38,48.3,4,11/13/18 23:36
39,47.8,4,11/13/18 23:36
40,48.3,4,11/13/18 23:36
41,47.8,4,11/13/18 23:36
42,47.8,4,11/13/18 23:36
43,48.3,4,11/13/18 23:36
44,47.8,4,11/13/18 23:36
45,47.8,4,11/13/18 23:36
46,47.8,4,11/13/18 23:36
47,47.8,4,11/13/18 23:36
48,48.3,4,11/13/18 23:36
49,48.3,4,11/13/18 23:36
50,47.8,4,11/13/18 23:36
51,48.3,4,11/13/18 23:36
52,47.8,4,11/13/18 23:36
53,48.3,4,11/13/18 23:36
54,48.3,4,11/13/18 23:36
55,48.3,4,11/13/18 23:36
56,47.8,4,11/13/18 23:36
57,48.3,4,11/13/18 23:36
58,47.8,4,11/13/18 23:36
59,48.3,4,11/13/18 23:36
60,47.8,4,11/13/18 23:36
61,48.3,4,11/13/18 23:36
62,48.3,4,11/13/18 23:36
63,48.3,4,11/13/18 23:36
64,47.2,4,11/13/18 23:36
65,47.8,4,11/13/18 23:36
66,48.3,4,11/13/18 23:36
67,48.3,4,11/13/18 23:36
68,48.3,4,11/13/18 23:37
69,47.8,4,11/13/18 23:37
70,48.3,4,11/13/18 23:37
71,47.8,4,11/13/18 23:37
72,48.3,4,11/13/18 23:37
73,48.3,4,11/13/18 23:37
74,48.3,4,11/13/18 23:37
75,47.8,4,11/13/18 23:37
76,47.8,4,11/13/18 23:37
77,47.8,4,11/13/18 23:37
78,48.3,4,11/13/18 23:37
79,47.8,4,11/13/18 23:37
80,47.8,4,11/13/18 23:37
81,47.8,4,11/13/18 23:37
82,48.3,4,11/13/18 23:37
83,48.3,4,11/13/18 23:37
84,48.3,4,11/13/18 23:37
85,48.3,4,11/13/18 23:37
86,48.3,4,11/13/18 23:37
87,48.3,4,11/13/18 23:37
88,47.8,4,11/13/18 23:37
89,48.3,4,11/13/18 23:37
90,48.3,4,11/13/18 23:37
91,47.8,4,11/13/18 23:37
92,48.3,4,11/13/18 23:37
93,48.3,4,11/13/18 23:37
94,48.3,4,11/13/18 23:37
95,47.8,4,11/13/18 23:37
96,48.3,4,11/13/18 23:37
97,48.3,4,11/13/18 23:37
98,47.8,4,11/13/18 23:37
99,48.3,4,11/13/18 23:37
100,47.8,4,11/13/18 23:37
101,48.3,4,11/13/18 23:37
102,48.3,4,11/13/18 23:37
103,47.8,4,11/13/18 23:37
104,48.3,4,11/13/18 23:37
105,48.3,4,11/13/18 23:37
106,48.3,4,11/13/18 23:37
107,48.3,4,11/13/18 23:37
108,48.3,4,11/13/18 23:37
109,48.3,4,11/13/18 23:37
110,47.8,4,11/13/18 23:37
111,48.3,4,11/13/18 23:37
112,47.8,4,11/13/18 23:37
113,47.8,4,11/13/18 23:37
114,47.8,4,11/13/18 23:37
115,47.8,4,11/13/18 23:37
116,47.8,4,11/13/18 23:37
117,48.3,4,11/13/18 23:37
118,48.3,4,11/13/18 23:37
119,47.8,4,11/13/18 23:37
120,48.3,4,11/13/18 23:37
121,47.8,4,11/13/18 23:37
122,47.8,4,11/13/18 23:37
123,48.3,4,11/13/18 23:37
124,48.3,4,11/13/18 23:37
125,48.3,4,11/13/18 23:37
126,48.3,4,11/13/18 23:38
127,48.3,4,11/13/18 23:38
128,48.3,4,11/13/18 23:38
129,48.3,4,11/13/18 23:38
130,48.3,4,11/13/18 23:38
131,48.3,4,11/13/18 23:38
132,48.3,4,11/13/18 23:38
133,48.3,4,11/13/18 23:38
134,48.3,4,11/13/18 23:38
135,48.3,4,11/13/18 23:38
136,48.3,4,11/13/18 23:38
137,47.8,4,11/13/18 23:38
138,47.8,4,11/13/18 23:38
139,48.3,4,11/13/18 23:38
140,47.8,4,11/13/18 23:38
141,47.8,4,11/13/18 23:38
142,47.8,4,11/13/18 23:38
143,47.2,4,11/13/18 23:38
144,47.8,4,11/13/18 23:38
145,47.8,4,11/13/18 23:38
146,47.8,4,11/13/18 23:38
147,48.3,4,11/13/18 23:38
148,47.8,4,11/13/18 23:38
149,48.3,4,11/13/18 23:38
150,47.8,4,11/13/18 23:38
151,47.8,4,11/13/18 23:38
152,47.8,4,11/13/18 23:38
153,48.3,4,11/13/18 23:38
154,48.3,4,11/13/18 23:38
155,48.3,4,11/13/18 23:38
156,48.3,4,11/13/18 23:38
157,49.4,4,11/13/18 23:38
158,48.3,4,11/13/18 23:38
159,48.3,4,11/13/18 23:38
160,48.3,4,11/13/18 23:38
161,48.3,4,11/13/18 23:38
162,47.8,4,11/13/18 23:38
163,48.3,4,11/13/18 23:38
164,48.3,4,11/13/18 23:38
165,48.3,4,11/13/18 23:38
166,48.3,4,11/13/18 23:38
167,48.9,4,11/13/18 23:38
168,49.4,4,11/13/18 23:38
169,48.3,4,11/13/18 23:38
170,48.3,4,11/13/18 23:38
171,48.3,4,11/13/18 23:38
172,49.4,4,11/13/18 23:38
173,49.4,4,11/13/18 23:38
